Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ATP6V1C1	1.28111798101487	3.46017451698604	12.0300312036241	7.64252456565945e-29	3.85120850153598e-27	54.6437258871138
CTTN	1.05940842900175	4.13726659391806	12.0195263472381	8.40067493692624e-29	4.19897703527496e-27	54.5500042189513
CYP2C19	-1.17699850725651	0.407204108370692	-12.0189334460754	8.44563104910598e-29	4.21575852825859e-27	54.5447156892195
FKBPL	1.05302016730411	2.44962638518091	12.0186776748421	8.46509851243551e-29	4.21978894621247e-27	54.5424343130349
EZH2	1.33880780681957	1.59153420108203	12.0148747265197	8.75987807677221e-29	4.35501160010052e-27	54.5085163293524
LSM2	1.27830599950114	4.46091882622242	11.9983008935243	1.01685837605039e-28	4.99501333317698e-27	54.3607574604133
GPANK1	1.04677318346342	2.91573961773646	11.9936092254223	1.06068270225016e-28	5.18963882773333e-27	54.3189483699287
SUB1	1.06838513932155	3.80576415178532	11.9829034688501	1.16785232982975e-28	5.69143613055714e-27	54.2235754706016
ELOC	1.1117743989496	3.23446291765532	11.9810380933396	1.18759890114015e-28	5.78006413934677e-27	54.206961904547
ZMIZ2	1.0667432944662	2.96857243423351	11.9791661762553	1.20774885821148e-28	5.87042023759011e-27	54.1902913457201
SF3A2	1.28893794498427	3.84699189074169	11.978712848721	1.21267960654725e-28	5.8866615029223e-27	54.1862543797828
RBIS	1.24834824445146	3.41167469589849	11.9719937834805	1.28815564156698e-28	6.20814138578707e-27	54.1264285989811
CENPW	1.91628361794332	2.54178716935144	11.9683699716185	1.33078516522774e-28	6.40124947398767e-27	54.0941694013813
CAD	1.18667162582147	2.07040214449889	11.9641803841951	1.38182355496894e-28	6.6295311954585e-27	54.0568796139712
CYB5R1	1.09872710598053	3.9313035085539	11.943384841556	1.66548509795093e-28	7.88826560842795e-27	53.871881642691
RECQL4	1.68871341951684	2.07350059622224	11.9414684601309	1.69437645346401e-28	7.98426400552165e-27	53.8548413715708
BIRC5	2.1336129836227	2.18391589098129	11.9409679464315	1.70200401643947e-28	8.01001585271727e-27	53.850391074841
NAA10	1.1383156374018	2.9115079299233	11.9347494868909	1.79966958206292e-28	8.45890380462516e-27	53.7951075308324
CYP39A1	-2.35816459934676	2.02133582167876	-11.9077439399748	2.29275740855502e-28	1.06682347861885e-26	53.5551861430458
PGP	1.2555502554935	2.8609385115621	11.8992124142502	2.47490113154202e-28	1.14868907406082e-26	53.4794463794657
NARF	1.07141822012137	2.43457603849653	11.8837151704514	2.84337926724369e-28	1.30986419527577e-26	53.3419360203718
CDC20	2.41644082095038	2.49254513131131	11.8809193824723	2.91544630372059e-28	1.33870439800839e-26	53.3171378181206
TPM3	1.08948632621197	4.51299876966187	11.8808664868922	2.91682717531393e-28	1.33870439800839e-26	53.3166686703852
TNFRSF4	1.15622103835298	1.36088573259475	11.8800109916949	2.93925103366984e-28	1.34732648248841e-26	53.3090811545617
SUCO	1.16150369352619	2.25885504175899	11.8680589977283	3.27108151464978e-28	1.4938880041874e-26	53.20310537745
DDOST	1.03668152268818	5.88284379505822	11.8633392466403	3.41216276257568e-28	1.54687496205971e-26	53.1612708933853
