Abundance	risk	cell
0.0592139592874655	Low	aDC
0.0714357873444168	Low	aDC
0.00281673114370131	Low	aDC
5.59516577018839e-18	Low	aDC
0.101684571202637	Low	aDC
0.00165156119334137	Low	aDC
2.68126298642426e-18	Low	aDC
6.55628885798691e-18	Low	aDC
0.0145317968165361	Low	aDC
0	Low	aDC
0.0684392119391216	High	aDC
0.217153385515208	High	aDC
0.164350476027933	High	aDC
0.192193085906688	High	aDC
0.0682351643396727	High	aDC
0.0637632515842625	High	aDC
0.0700638577289814	High	aDC
0	High	aDC
0.0156293075490068	High	aDC
0.0226191450486324	High	aDC
0.203952338828852	High	aDC
0.0255742068834735	High	aDC
3.31689709640423e-19	High	aDC
0.0390379757003027	High	aDC
0.0223283546599789	High	aDC
0.00562063369776409	High	aDC
0	High	aDC
0	High	aDC
0.0751382256214062	High	aDC
0.0777407510750939	High	aDC
0.169592217034977	High	aDC
0.1320950157892	High	aDC
0.0345701500948959	High	aDC
0.0707255609102312	High	aDC
0.15352036121724	High	aDC
0.109825891696282	High	aDC
0.0476320980763665	High	aDC
0.00826961971821655	High	aDC
0.161142793957795	High	aDC
0.191902208214084	High	aDC
0.0295125662302598	High	aDC
0.000936129284072473	High	aDC
0.0275207298397604	High	aDC
0.0764417261252204	High	aDC
0.0253201056901355	High	aDC
0.00779786679663446	High	aDC
0.102516902818785	High	aDC
0.0246465796955927	High	aDC
0.0101457328011605	High	aDC
0.136764010411136	High	aDC
0.0042170540601545	High	aDC
5.43684358953733e-18	High	aDC
0.0573016486398928	High	aDC
0	High	aDC
1.03962025012983e-18	High	aDC
0.065972523800735	High	aDC
0.0589751944391979	High	aDC
0.264420291223415	High	aDC
0.0538978324947727	High	aDC
0	High	aDC
0.055219971096476	High	aDC
0.0174175975616774	High	aDC
0.217427844361893	High	aDC
0.0961473682616117	High	aDC
0.105735351381763	High	aDC
0.0235379428001274	High	aDC
0.0107107726166672	High	aDC
0.118760914862718	High	aDC
0.104278272255342	High	aDC
0.0110403103867212	High	aDC
0.0388873267904011	High	aDC
0.0262555764115979	High	aDC
0.0908099889560827	High	aDC
0.0442072108062549	High	aDC
0.0810374141505188	High	aDC
0	High	aDC
0.0559690145583227	High	aDC
0	High	aDC
0.111629794082115	High	aDC
0.013367036103506	High	aDC
0.00517928274132022	High	aDC
0.0873749234688392	High	aDC
0	High	aDC
0.00608899734615728	High	aDC
0.040740636463509	High	aDC
0.133563125407313	High	aDC
0	High	aDC
0.0191041548422027	High	aDC
0.16876962379957	High	aDC
0.000168662775133133	High	aDC
0.129499324761133	High	aDC
0.0511728188007256	High	aDC
1.68864371790468e-19	High	aDC
0	High	aDC
0.0944701530352905	High	aDC
0.0540286584460256	High	aDC
0.00801211413120101	High	aDC
0.0753711101704201	High	aDC
3.08675576749907e-18	High	aDC
0.157930195555785	High	aDC
6.39030164148051e-18	High	aDC
0.0194568123344924	High	aDC
0	High	aDC
0.156634189050683	High	aDC
0.0364375603006822	High	aDC
0.029429985126792	High	aDC
0.0417418060563659	High	aDC
4.47238935351549e-18	High	aDC
0.092907972213207	High	aDC
0.175068623765575	High	aDC
0.187173316336295	High	aDC
2.98092414947e-19	High	aDC
0.00875265988682853	High	aDC
0.041414571624527	High	aDC
0.056340135912631	High	aDC
0	High	aDC
0.00837924454459299	High	aDC
2.36786357922627e-18	High	aDC
0.0454053015125147	High	aDC
0.192911078990265	High	aDC
1.62964943306464e-19	High	aDC
0.109365329097664	High	aDC
0.0106681205152772	High	aDC
0.295542287971896	High	aDC
0.0884825807629577	High	aDC
1.31138731882933e-18	High	aDC
0.0235180001256928	High	aDC
2.19878609942516e-18	High	aDC
0.0475255928712064	High	aDC
0.0316572848273511	High	aDC
0.0334160118978823	High	aDC
0.211838733326308	High	aDC
0.121409824694899	High	aDC
0.072809050720847	High	aDC
0.125688129834546	High	aDC
0.000736486887813277	High	aDC
0.0991949892571705	High	aDC
0.0121827283462385	High	aDC
0.0965829631144456	High	aDC
0.10836335090713	High	aDC
0.0198698110216464	High	aDC
0.0460471665290993	High	aDC
0.0793235720275255	High	aDC
0.172325335622541	High	aDC
0.132606701303943	High	aDC
0.0728574546989379	High	aDC
2.21602708041445e-19	High	aDC
0.0126182513807717	High	aDC
0.144699048803352	High	aDC
0.0353604648065825	High	aDC
