Cell1	Cell2	cor	p.value
Mast cell	CD56bright natural killer cell	0.520920817003188	1.22100711755476e-26
MDSC	CD56bright natural killer cell	0.527403786570035	2.22254771112451e-27
Memory B cell	CD56bright natural killer cell	0.0447096850914028	0.39570285420436
Monocyte	CD56bright natural killer cell	0.31173898928796	1.27209247588834e-09
Natural killer cell	CD56bright natural killer cell	0.521264521515652	1.11658267359741e-26
Natural killer T cell	CD56bright natural killer cell	0.557167092074174	5.45868690393563e-31
Neutrophil	CD56bright natural killer cell	0.38931234511345	1.38632545710396e-14
Plasmacytoid dendritic cell	CD56bright natural killer cell	0.471161937008245	1.85388884863662e-21
Regulatory T cell	CD56bright natural killer cell	0.486707165260656	5.48851838392306e-23
T follicular helper cell	CD56bright natural killer cell	0.43708902850038	2.27803435180803e-18
Type 1 T helper cell	CD56bright natural killer cell	0.600925192336544	5.263196790695e-37
Type 17 T helper cell	CD56bright natural killer cell	0.361891749636602	1.12945592791885e-12
Type 2 T helper cell	CD56bright natural killer cell	0.331599339886633	9.15499766907813e-11
riskScore	CD56bright natural killer cell	-0.10172298821219	0.0528157355620628
Activated B cell	CD56dim natural killer cell	0.275969886467124	7.09444156122334e-06
Activated CD4 T cell	CD56dim natural killer cell	0.185466968992835	0.0164207875764476
Activated CD8 T cell	CD56dim natural killer cell	0.251242730147803	8.09434198918712e-05
Activated dendritic cell	CD56dim natural killer cell	0.362410316955772	1.26231871689276e-10
CD56bright natural killer cell	CD56dim natural killer cell	0.420033507426777	9.60339708990851e-15
CD56dim natural killer cell	CD56dim natural killer cell	1	0
Central memory CD4 T cell	CD56dim natural killer cell	0.335736087117303	5.16414595426761e-11
Central memory CD8 T cell	CD56dim natural killer cell	0.401973466011638	1.57493119681419e-15
Effector memeory CD4 T cell	CD56dim natural killer cell	0.318052615390637	5.62637500101783e-10
Effector memeory CD8 T cell	CD56dim natural killer cell	0.318268120628743	5.47001450947213e-10
Eosinophil	CD56dim natural killer cell	0.226589332315098	1.306324320398e-05
Gamma delta T cell	CD56dim natural killer cell	0.130098931706164	0.0131117249206708
Immature  B cell	CD56dim natural killer cell	0.236548985921161	5.21017109973701e-06
Immature dendritic cell	CD56dim natural killer cell	0.223928005695962	1.65860312641014e-05
Macrophage	CD56dim natural killer cell	0.457338994506247	3.65877777294356e-20
Mast cell	CD56dim natural killer cell	0.250571628271277	1.33203994695425e-06
MDSC	CD56dim natural killer cell	0.395667617164353	4.70735167439247e-15
Memory B cell	CD56dim natural killer cell	-0.0961323959817179	0.0673261952736015
Monocyte	CD56dim natural killer cell	0.258662733549725	5.83876130850389e-07
Natural killer cell	CD56dim natural killer cell	0.486735514610954	5.45249815692765e-23
Natural killer T cell	CD56dim natural killer cell	0.41900013597653	7.27489455325025e-17
Neutrophil	CD56dim natural killer cell	0.363692560578548	8.56730137810162e-13
Plasmacytoid dendritic cell	CD56dim natural killer cell	0.374185081618532	1.65343737681275e-13
Regulatory T cell	CD56dim natural killer cell	0.383654517255723	3.5565904904739e-14
T follicular helper cell	CD56dim natural killer cell	0.352723619926031	4.49099035132776e-12
Type 1 T helper cell	CD56dim natural killer cell	0.410643098739533	3.36357614739566e-16
Type 17 T helper cell	CD56dim natural killer cell	0.362924117570024	9.6416962818774e-13
Type 2 T helper cell	CD56dim natural killer cell	0.118929287688705	0.0234427827257461
riskScore	CD56dim natural killer cell	-0.002119176654586	0.967904556538414
Activated B cell	Central memory CD4 T cell	0.631672696966519	2.4972249495312e-39
Activated CD4 T cell	Central memory CD4 T cell	0.629423063124721	5.8446313966337e-39
Activated CD8 T cell	Central memory CD4 T cell	0.533398294322453	1.09482542114306e-25
Activated dendritic cell	Central memory CD4 T cell	0.666870046076475	1.59303662528466e-45
CD56bright natural killer cell	Central memory CD4 T cell	0.379222736078587	9.62347486415822e-12
CD56dim natural killer cell	Central memory CD4 T cell	0.335736087117303	5.37071179243831e-09
Central memory CD4 T cell	Central memory CD4 T cell	1	0
Central memory CD8 T cell	Central memory CD4 T cell	0.602022788863573	3.61657307005646e-37
Effector memeory CD4 T cell	Central memory CD4 T cell	0.649582461737158	6.95637758756801e-45
Effector memeory CD8 T cell	Central memory CD4 T cell	0.634840548702929	2.39263178845306e-42
Eosinophil	Central memory CD4 T cell	0.243524682248941	2.67091341740875e-06
Gamma delta T cell	Central memory CD4 T cell	0.425843869841861	2.01047619175851e-17
Immature  B cell	Central memory CD4 T cell	0.699832312338591	1.06940623957835e-54
Immature dendritic cell	Central memory CD4 T cell	0.511561768216716	1.34026823096084e-25
Macrophage	Central memory CD4 T cell	0.635378433720975	1.94421929694152e-42
Mast cell	Central memory CD4 T cell	0.513950138259531	7.32353059155003e-26
MDSC	Central memory CD4 T cell	0.713085508163359	1.23036966893292e-57
Memory B cell	Central memory CD4 T cell	0.171221545907633	0.00105596236881933
Monocyte	Central memory CD4 T cell	0.422950229077803	3.47540873701883e-17
Natural killer cell	Central memory CD4 T cell	0.695836308342587	7.65231581198112e-54
Natural killer T cell	Central memory CD4 T cell	0.696338317634149	5.98685382657669e-54
Neutrophil	Central memory CD4 T cell	0.326280198957246	1.88781096213666e-10
Plasmacytoid dendritic cell	Central memory CD4 T cell	0.6331134962476	4.64586353944295e-42
Regulatory T cell	Central memory CD4 T cell	0.723544411389715	4.46658525564043e-60
T follicular helper cell	Central memory CD4 T cell	0.697654680828965	3.13788930814041e-54
Type 1 T helper cell	Central memory CD4 T cell	0.705566909233409	5.99162781345225e-56
Type 17 T helper cell	Central memory CD4 T cell	0.362547798760757	1.0214812637828e-12
Type 2 T helper cell	Central memory CD4 T cell	0.535731220060703	2.35940600635329e-28
riskScore	Central memory CD4 T cell	0.224422739490545	1.58694147651875e-05
Activated B cell	Central memory CD8 T cell	0.532036020232906	1.56302012628716e-25
Activated CD4 T cell	Central memory CD8 T cell	0.445153038824561	8.0417153724361e-17
Activated CD8 T cell	Central memory CD8 T cell	0.451755677772755	2.10330918406587e-17
Activated dendritic cell	Central memory CD8 T cell	0.6367966538735	3.5587892913376e-40
CD56bright natural killer cell	Central memory CD8 T cell	0.428822558656813	1.87798205747944e-15
CD56dim natural killer cell	Central memory CD8 T cell	0.401973466011638	2.31514885931686e-13
Central memory CD4 T cell	Central memory CD8 T cell	0.602022788863573	1.0632724825966e-34
Central memory CD8 T cell	Central memory CD8 T cell	1	0
Effector memeory CD4 T cell	Central memory CD8 T cell	0.53332102352695	4.54466395761954e-28
Effector memeory CD8 T cell	Central memory CD8 T cell	0.619040928935454	8.88865315617078e-40
Eosinophil	Central memory CD8 T cell	0.245003364290155	2.31213292539014e-06
Gamma delta T cell	Central memory CD8 T cell	0.485961050501483	6.52559322930798e-23
Immature  B cell	Central memory CD8 T cell	0.619478964029441	7.57795921363708e-40
Immature dendritic cell	Central memory CD8 T cell	0.544046360470268	2.35951967855182e-29
Macrophage	Central memory CD8 T cell	0.728399174908467	3.01145203262076e-61
Mast cell	Central memory CD8 T cell	0.546344664878065	1.23448378621265e-29
MDSC	Central memory CD8 T cell	0.729969427859935	1.24311054959432e-61
Memory B cell	Central memory CD8 T cell	0.141372690594187	0.00698027581146681
Monocyte	Central memory CD8 T cell	0.424464285087088	2.61164592955811e-17
Natural killer cell	Central memory CD8 T cell	0.638032735722339	6.9398513474444e-43
Natural killer T cell	Central memory CD8 T cell	0.682041966070093	5.35804621877492e-51
Neutrophil	Central memory CD8 T cell	0.497293264244545	4.49675170769037e-24
Plasmacytoid dendritic cell	Central memory CD8 T cell	0.580775076254735	4.02075750652481e-34
Regulatory T cell	Central memory CD8 T cell	0.739262244535976	5.80501114738485e-64
T follicular helper cell	Central memory CD8 T cell	0.581069859321994	3.66072812424689e-34
Type 1 T helper cell	Central memory CD8 T cell	0.668555954341992	2.30587005074487e-48
Type 17 T helper cell	Central memory CD8 T cell	0.38496034352388	2.8661376578586e-14
Type 2 T helper cell	Central memory CD8 T cell	0.443843198489105	5.92077030035444e-19
riskScore	Central memory CD8 T cell	0.109675859048034	0.0367344214079934
Activated B cell	Effector memeory CD4 T cell	0.532071645080184	1.55444205427797e-25
Activated CD4 T cell	Effector memeory CD4 T cell	0.507854526187023	7.53143701176407e-23
Activated CD8 T cell	Effector memeory CD4 T cell	0.41982653208168	9.91867721172793e-15
Activated dendritic cell	Effector memeory CD4 T cell	0.543847413259769	6.38726837710731e-27
CD56bright natural killer cell	Effector memeory CD4 T cell	0.391097601544613	1.45680638218998e-12
CD56dim natural killer cell	Effector memeory CD4 T cell	0.318052615390637	5.28879250095676e-08
Central memory CD4 T cell	Effector memeory CD4 T cell	0.649582461737158	2.24690996078447e-42
Central memory CD8 T cell	Effector memeory CD4 T cell	0.53332102352695	1.11344266961679e-25
Effector memeory CD4 T cell	Effector memeory CD4 T cell	1	0
Effector memeory CD8 T cell	Effector memeory CD4 T cell	0.619064260701629	8.81349872174369e-40
Eosinophil	Effector memeory CD4 T cell	0.298809678518368	6.37366755973557e-09
Gamma delta T cell	Effector memeory CD4 T cell	0.43584441675853	2.91055573931515e-18
Immature  B cell	Effector memeory CD4 T cell	0.597787947863287	1.52601812184361e-36
Immature dendritic cell	Effector memeory CD4 T cell	0.578506626472473	8.24969535549261e-34
Macrophage	Effector memeory CD4 T cell	0.594693854613493	4.31076519177065e-36
Mast cell	Effector memeory CD4 T cell	0.592933686102948	7.74366484606268e-36
MDSC	Effector memeory CD4 T cell	0.618079308938174	1.26052697313392e-39
Memory B cell	Effector memeory CD4 T cell	0.221716254614296	2.01822498094942e-05
Monocyte	Effector memeory CD4 T cell	0.291081595451259	1.60898161919487e-08
Natural killer cell	Effector memeory CD4 T cell	0.575161403137295	2.3567192444874e-33
Natural killer T cell	Effector memeory CD4 T cell	0.646858666195683	2.09705697628399e-44
Neutrophil	Effector memeory CD4 T cell	0.306075892966903	2.60180078306742e-09
Plasmacytoid dendritic cell	Effector memeory CD4 T cell	0.537358422591974	1.51110690410388e-28
Regulatory T cell	Effector memeory CD4 T cell	0.661618140774344	4.61973956486528e-47
T follicular helper cell	Effector memeory CD4 T cell	0.605762645190069	9.96104050967863e-38
Type 1 T helper cell	Effector memeory CD4 T cell	0.616565503808096	2.17935174229488e-39
Type 17 T helper cell	Effector memeory CD4 T cell	0.339174888396385	3.18750855860403e-11
Type 2 T helper cell	Effector memeory CD4 T cell	0.547146223941804	9.8368118059131e-30
riskScore	Effector memeory CD4 T cell	0.197931902351792	0.00014721463203376
Activated B cell	Effector memeory CD8 T cell	0.767539843381129	3.8743058894244e-69
Activated CD4 T cell	Effector memeory CD8 T cell	0.484347646326551	1.91372744848574e-20
Activated CD8 T cell	Effector memeory CD8 T cell	0.797834511043954	9.31794346281378e-79
